"clip","n","workers","seconds","duration","results_csv"
"b/clip_60s_60s","6","8","24,152426","24.152426s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","10","24,826358","24.8263583s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","12","24,524847","24.5248471s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","16","24,155084","24.1550839s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","32","23,705797","23.7057966s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","64","23,497152","23.4971523s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","128","23,640565","23.6405651s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"c/clip_0s_120s","1","1","10,567058","10.5670581s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","2","10,98357","10.9835701s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","4","10,0136","10.0135997s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","6","9,428563","9.4285633s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","8","8,667204","8.6672042s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","10","9,029966","9.0299657s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","12","9,382128","9.3821278s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","16","8,634633","8.6346328s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","32","8,748764","8.7487641s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","64","9,400831","9.4008312s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","1","128","9,096118","9.0961177s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","1","11,53646","11.5364598s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","2","11,503784","11.5037839s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","4","10,704138","10.7041376s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","6","11,261237","11.2612373s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","8","10,961515","10.9615152s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","10","10,457023","10.4570228s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","12","10,875437","10.8754372s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","16","10,878752","10.8787523s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","32","10,354557","10.3545573s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","64","11,138679","11.138679s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_120s","6","128","10,829691","10.829691s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_120s\results.csv"
"c/clip_0s_30s","1","1","2,086847","2.086847s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","1","2","1,803498","1.8034984s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","1","4","1,572204","1.5722042s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","1","6","1,603508","1.6035084s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","1","8","1,594851","1.5948509s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","1","10","1,691267","1.6912671s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
